pid,comm,rss_kb,pss_kb,swap_kb,anon_kb,file_kb,shared_clean_kb,shared_dirty_kb
717,dbus-broker-lau,1328,507,196,164,0,1060,0
719,dbus-broker,1924,752,288,680,0,1244,0
721,pipewire,13596,11203,17464,9968,0,2836,260
722,wireplumber,10144,7126,11604,6072,0,3272,0
723,bash,12,4,1580,4,0,8,0
724,pipewire-pulse,50664,47389,20120,45780,0,3820,356
788,xdg-permission-,236,228,256,228,0,8,0
811,startx,12,4,348,4,0,8,0
831,xinit,12,4,220,4,0,8,0
832,Xorg,94828,90779,60144,88120,0,4332,424
849,i3,40824,36312,6544,9372,0,5052,0
855,nm-applet,12804,7897,11200,6980,0,5760,4
857,dunst,6540,4921,8320,4796,0,1644,36
858,terminator,41980,30052,21268,25552,0,14896,8
859,chromium,272116,221073,102336,161536,0,61460,1440
860,pavucontrol,52736,40091,25572,34532,0,16588,4
861,thunar,14544,8043,14004,7268,0,7028,216
863,chrome,311428,233161,121188,135852,0,92004,3284
864,brave,193728,135209,67636,84656,0,77004,448
865,lxtask,28304,16134,7532,9500,0,15444,88
866,corectrl,60152,56464,21608,49840,0,4764,0
867,gnome-system-mo,204628,154291,17764,130044,0,66772,48
869,Discord,74692,51320,66620,38600,0,33456,200
890,cat,12,4,104,4,0,8,0
891,cat,180,45,80,28,0,136,0
905,gvfsd,272,264,1496,264,0,8,0
922,gvfsd-fuse,1628,379,496,244,0,1352,0
983,chrome_crashpad,120,112,260,112,0,8,0
1003,chrome_crashpad,12,4,332,4,0,8,0
1041,xdg-desktop-por,5608,2312,2008,1616,0,3484,4
1074,chromium,644,322,15844,636,0,8,628
1076,chromium,3808,237,12592,3800,0,8,3796
1084,xdg-document-po,3768,622,344,408,0,3332,0
1085,Discord,716,354,8384,708,0,8,708
1086,Discord,12,2,8992,4,0,8,4
1105,at-spi-bus-laun,272,260,504,260,0,8,4
1106,xdg-desktop-por,12456,8689,6280,8292,0,3984,8
1114,dbus-broker-lau,16,8,280,8,0,8,0
1115,dbus-broker,1040,156,156,88,0,952,0
1116,chrome_crashpad,896,507,252,116,0,392,0
1121,at-spi2-registr,2072,294,524,200,0,1852,0
1144,Discord,8,2,9016,4,0,4,4
1154,chrome_crashpad,12,4,328,4,0,8,0
1165,chromium,7848,802,12424,4072,0,3776,3816
1211,chrome,4384,808,15220,864,0,3520,568
1212,gvfs-udisks2-vo,5020,1512,1560,848,0,3780,4
1216,chrome,3140,237,12860,3132,0,8,3128
1235,chrome_crashpad,792,403,268,104,0,392,0
1258,gvfsd-metadata,3652,765,276,500,0,3080,0
1260,chrome_crashpad,12,4,328,4,0,8,0
1306,chrome,6628,663,12696,3396,0,3232,3204
1423,brave,816,408,14308,808,0,8,800
1424,brave,3300,482,11732,3292,0,8,3288
1464,gvfs-mtp-volume,3236,479,356,364,0,2868,0
1478,brave,6528,1237,11568,3556,0,2896,3288
1490,gvfsd-trash,448,440,1588,440,0,8,0
1504,dconf-service,3560,515,204,348,0,3180,0
2580,bash,12,4,1556,4,0,8,0
2699,code,66816,38961,72696,26868,0,34652,200
3378,code,412,202,8760,404,0,8,404
3402,code,1036,257,8044,1028,0,8,1028
3841,code,1032,257,8156,1028,0,4,1028
4092,chromium,152652,88320,88424,61652,0,79616,1676
4418,chromium,63916,42968,17904,34280,0,23792,700
5047,chrome,133540,59002,89628,41508,0,86764,1860
5179,chrome,74600,27895,16892,18080,0,52752,956
5183,chrome_crashpad,872,423,236,116,0,456,0
5277,brave,131728,59265,92344,34092,0,91184,1424
5303,brave,52480,21288,15844,11436,0,38696,164
5320,gnome-keyring-d,12,4,812,4,0,8,0
5330,chromium,22328,5862,15268,7752,0,14180,4024
5456,gnome-keyring-d,3076,492,828,376,0,2684,0
