pid,comm,rss_kb,pss_kb,swap_kb,anon_kb,file_kb,shared_clean_kb,shared_dirty_kb
717,dbus-broker-lau,1312,361,196,164,0,1148,0
719,dbus-broker,1980,805,240,736,0,1244,0
721,pipewire,12940,10539,18436,9132,0,2836,260
722,wireplumber,10116,7059,11644,6032,0,3284,0
723,bash,12,4,1580,4,0,8,0
724,pipewire-pulse,55844,52596,19356,51128,0,3764,356
788,xdg-permission-,3080,384,228,256,0,2780,0
811,startx,12,4,348,4,0,8,0
831,xinit,12,4,220,4,0,8,0
832,Xorg,74468,70408,80900,68036,0,4080,760
849,i3,40848,32479,10620,5080,0,9288,0
855,nm-applet,12296,6409,12556,5624,0,6600,4
857,dunst,15576,6536,8800,4652,0,10244,196
858,terminator,32180,21486,27572,19248,0,12304,8
859,chromium,201040,152208,118472,131680,0,58872,1128
860,pavucontrol,49784,37889,26340,33772,0,14484,4
861,thunar,21180,9180,14240,7316,0,13540,260
863,chrome,228336,155631,135328,117244,0,84564,2988
864,brave,161116,114102,75476,76840,0,63848,444
865,lxtask,21840,9921,9072,7976,0,13636,76
866,corectrl,57732,53445,21992,49412,0,5024,4
867,gnome-system-mo,141360,94583,64552,84332,0,56176,12
869,Discord,79596,52315,71524,34264,0,40072,192
890,cat,12,4,104,4,0,8,0
891,cat,172,36,80,28,0,136,0
905,gvfsd,160,152,1608,152,0,8,0
922,gvfsd-fuse,1564,307,552,188,0,1352,0
983,chrome_crashpad,16,8,364,8,0,8,0
1003,chrome_crashpad,12,4,332,4,0,8,0
1041,xdg-desktop-por,6056,2094,1972,1656,0,4208,4
1074,chromium,620,310,15868,612,0,8,604
1076,chromium,3792,304,12608,3784,0,8,3780
1084,xdg-document-po,3772,607,344,416,0,3328,0
1085,Discord,716,354,8384,708,0,8,708
1086,Discord,12,2,8992,4,0,8,4
1105,at-spi-bus-laun,3248,387,496,268,0,2956,4
1106,xdg-desktop-por,13464,9082,5964,8608,0,4632,4
1114,dbus-broker-lau,16,8,280,8,0,8,0
1115,dbus-broker,1040,154,156,88,0,952,0
1116,chrome_crashpad,784,394,268,100,0,392,0
1121,at-spi2-registr,1988,265,532,192,0,1776,0
1144,Discord,8,2,9016,4,0,4,4
1154,chrome_crashpad,12,4,328,4,0,8,0
1165,chromium,7604,718,12636,3860,0,3744,3784
1211,chrome,4232,689,15356,728,0,3504,560
1212,gvfs-udisks2-vo,4984,1318,1564,844,0,3960,4
1216,chrome,3128,234,12872,3120,0,8,3116
1235,chrome_crashpad,840,450,280,92,0,392,0
1258,gvfsd-metadata,3640,729,276,500,0,3076,0
1260,chrome_crashpad,12,4,328,4,0,8,0
1306,chrome,6600,669,12708,3384,0,3216,3200
1423,brave,800,400,14324,792,0,8,784
1424,brave,2952,501,12080,2944,0,8,2940
1464,gvfs-mtp-volume,3224,448,360,360,0,2864,0
1478,brave,5888,1125,11976,3148,0,2724,2940
1490,gvfsd-trash,300,292,1736,292,0,8,0
1504,dconf-service,3548,490,204,352,0,3164,0
2580,bash,12,4,1556,4,0,8,0
2699,code,57536,34327,74324,27512,0,28508,196
3378,code,412,202,8760,404,0,8,404
3402,code,1032,256,8048,1024,0,8,1024
