pid,comm,rss_kb,pss_kb,swap_kb,anon_kb,file_kb,shared_clean_kb,shared_dirty_kb
897,dbus-broker-lau,132,124,188,124,0,8,0
898,dbus-broker,1248,648,348,580,0,656,0
900,pipewire,8328,6901,3740,6336,0,1684,68
901,wireplumber,7904,5869,11068,4980,0,2304,0
902,pipewire-pulse,16136,14631,15912,13504,0,1760,80
903,bash,12,4,1584,4,0,8,0
965,xdg-permission-,432,424,56,424,0,8,0
976,startx,12,4,356,4,0,8,0
996,xinit,12,4,220,4,0,8,0
997,Xorg,92404,87200,70536,83144,0,5948,1052
1022,i3,13020,9158,20748,1396,0,4380,0
1028,nm-applet,5272,2056,16720,1560,0,3684,4
1030,dunst,18116,8169,7100,5412,0,11160,1004
1031,terminator,32548,18212,22120,9616,0,18380,8
1032,chromium,47920,37208,61800,18704,0,16412,108
1033,pavucontrol,29504,27279,31372,26556,0,2724,8
1034,thunar,29612,14259,11384,8224,0,19060,16
1036,chrome,281308,206131,98640,147580,0,89124,4516
1037,brave,118324,97908,97592,57012,0,30324,324
1038,lxtask,22300,10375,8824,7388,0,14516,12
1039,corectrl,62964,56131,19616,46664,0,9044,8
1040,gnome-system-mo,84688,59720,24572,42576,0,39904,8
1063,cat,12,4,100,4,0,8,0
1064,cat,108,48,84,28,0,60,0
1082,gvfsd,864,856,888,856,0,8,0
1099,gvfsd-fuse,492,484,256,484,0,8,0
1222,xdg-desktop-por,4732,2188,1692,1668,0,2740,4
1226,chrome_crashpad,12,4,372,4,0,8,0
1251,chrome_crashpad,12,4,328,4,0,8,0
1262,at-spi-bus-laun,612,600,152,600,0,8,4
1263,xdg-document-po,3264,883,44,664,0,2512,0
1265,chromium,80,40,16392,72,0,8,64
1266,chromium,240,38,16148,232,0,8,228
1276,xdg-desktop-por,3108,1923,1548,1836,0,1268,4
1282,dbus-broker-lau,224,216,64,216,0,8,0
1285,dbus-broker,536,206,80,164,0,372,0
1291,at-spi2-registr,1480,650,144,572,0,888,0
1350,chromium,500,299,15984,496,0,8,228
1361,gvfs-udisks2-vo,3280,2191,252,2132,0,1128,4
1362,chrome_crashpad,228,89,288,88,0,140,0
1396,chrome_crashpad,12,4,332,4,0,8,0
1428,gvfsd-metadata,2872,800,272,504,0,2188,32
1444,chrome,3944,556,15376,688,0,3272,476
1474,chrome,2796,166,13188,2788,0,8,2784
1481,chrome_crashpad,192,53,320,52,0,140,0
1606,chrome_crashpad,12,4,328,4,0,8,0
1620,gvfs-mtp-volume,88,80,628,80,0,8,0
1651,gvfsd-trash,504,496,1492,496,0,8,0
1652,brave,176,86,14924,168,0,8,164
1662,brave,1856,160,13164,1848,0,8,1844
1665,dconf-service,316,308,168,308,0,8,0
1692,chrome,5088,551,13016,3060,0,2028,2800
1896,brave,3156,597,12996,2116,0,1008,1844
2859,bash,2972,1481,752,800,0,1964,0
3979,code,36544,25054,54084,19768,0,14520,96
4164,code,332,162,8828,324,0,8,324
4182,code,852,281,8220,844,0,8,844
4574,code,876,309,8304,872,0,4,844
4654,chromium,9432,7129,69776,6664,0,2688,80
4678,chromium,29428,21840,18392,9644,0,11732,44
5405,chrome,133052,79811,55832,48760,0,70844,2364
5442,chrome,60576,24987,16536,16220,0,40252,964
5472,chrome_crashpad,2368,2209,92,2208,0,160,0
5555,chromium,3288,1294,17528,1252,0,2068,228
5662,brave,48740,30289,77264,17040,0,27092,220
5692,brave,21764,13798,17456,11004,0,10076,56
5755,gnome-keyring-d,452,444,356,444,0,8,0
5905,chrome,21396,4212,14424,5340,0,15556,3216
5975,gnome-keyring-d,2932,1069,348,828,0,1972,0
6062,code,9676,7072,51732,6604,0,3012,340
6154,code,8940,5259,9572,2500,0,4640,64
7116,chromium,5924,2606,24496,2252,0,3708,248
7117,chromium,7320,4692,36256,4468,0,2880,232
7119,code,144812,129925,49200,103108,0,19808,892
7283,chrome,38396,12589,31924,13516,0,23116,4568
7717,chromium,14788,9618,32112,5060,0,6680,252
8276,chromium,5172,1964,22752,1644,0,3552,236
8288,code,14456,9936,43108,9048,0,5268,24
8318,code,44768,31160,111136,24736,0,18532,8
8335,code,19296,8473,33428,5092,0,13268,4
8520,pet,12,8,964,8,0,4,0
8789,code,10452,4789,34460,3528,0,6736,4
8846,bash,12,4,1660,4,0,8,0
8944,brave,10280,2885,15932,3484,0,6580,1864
9072,bash,12,4,1660,4,0,8,0
9146,brave,18360,8740,31160,7164,0,10044,1872
9359,code,57440,47188,247064,43912,0,13056,0
9743,brave,6204,1741,17920,916,0,5252,8
10096,brave,10160,3370,23236,4588,0,5556,1876
10202,brave,11492,4804,31672,6056,0,5428,1880
10216,brave,10560,3805,31064,5032,0,5520,1880
10245,brave,17164,8527,58228,8744,0,8288,1880
10405,brave,12300,5636,52112,6888,0,5404,1876
10503,brave,15844,7085,46456,7248,0,8468,1872
10588,brave,11928,5206,50144,6456,0,5468,1876
11525,gamemoded,708,592,404,588,0,116,0
36855,brave,6132,1894,19788,3288,0,2836,1860
128806,polybar,3468,1270,2300,720,0,2700,0
128807,polybar,2468,786,2352,428,0,2012,0
128808,polybar,4348,1833,2232,768,0,3052,0
128857,python3,5212,3406,3568,2196,0,2772,0
128858,i3-msg,504,130,76,112,0,380,0
1458966,chrome,129448,70729,20376,66320,0,59728,6716
1461096,chrome,84984,28537,27188,24440,0,57876,5152
1461164,chrome,132420,93898,42388,93044,0,37012,5196
1461200,chrome,39008,8910,20664,9180,0,27524,5136
1461251,chrome,123708,65937,20900,61908,0,58308,6892
1461269,chrome,88432,33771,19040,30260,0,54620,6428
1461374,chrome,137688,78592,18776,71496,0,59940,6512
1461476,chrome,25932,15405,416,14728,0,11072,132
1461670,chrome,14332,2046,12924,4144,0,10072,2928
1466267,bash,3684,1240,0,372,0,3044,0
1466276,jupyter-lab,170756,163594,0,150512,0,8596,0
1466587,chrome,327564,232277,16344,189708,0,105328,7732
1466598,chrome,92012,18915,17236,13688,0,75972,5048
1466599,chrome,84812,16572,17240,12292,0,70084,5092
1466620,chrome,90092,18264,17232,13440,0,74196,5096
1466749,chrome,64612,11354,17248,9124,0,53200,5012
1466765,chrome,83532,16170,17236,12032,0,69128,5112
1466841,python,66940,52867,0,49072,0,17804,0
1466844,python,67032,53020,0,49244,0,17728,0
1466845,python,67172,53074,0,49316,0,17832,0
1466931,chrome,113640,77667,14512,35572,0,42056,956
1466932,chrome,6232,1268,14812,1732,0,4892,824
1467112,bwrap,1920,183,0,136,0,1784,92
1467113,bwrap,1244,150,0,160,0,1084,92
1467114,glycin-svg,16548,9181,0,2536,0,8720,0
1467365,python,111928,97571,0,77848,0,18196,0
1467543,bwrap,1920,185,0,136,0,1784,88
1467545,bwrap,1236,144,0,152,0,1084,88
1467546,glycin-image-rs,6236,4293,0,668,0,2024,0
