pid,comm,rss_kb,pss_kb,swap_kb,anon_kb,file_kb,shared_clean_kb,shared_dirty_kb
897,dbus-broker-lau,132,124,188,124,0,8,0
898,dbus-broker,1248,649,348,580,0,656,0
900,pipewire,8328,6902,3740,6336,0,1684,68
901,wireplumber,7904,5872,11068,4980,0,2304,0
902,pipewire-pulse,16128,14630,15920,13496,0,1760,80
903,bash,12,4,1584,4,0,8,0
965,xdg-permission-,432,424,56,424,0,8,0
976,startx,12,4,356,4,0,8,0
996,xinit,12,4,220,4,0,8,0
997,Xorg,92344,87189,70480,83200,0,5892,1052
1022,i3,14244,10445,19516,1464,0,4380,0
1028,nm-applet,5276,2071,16716,1564,0,3684,4
1030,dunst,7404,5135,8004,4508,0,1884,972
1031,terminator,32548,18573,22120,9616,0,18348,12
1032,chromium,47844,37169,61792,18704,0,16352,108
1033,pavucontrol,29700,27477,31176,26752,0,2724,8
1034,thunar,29612,14804,11384,8224,0,18760,20
1036,chrome,277440,203722,99904,145864,0,87716,4512
1037,brave,118444,98039,97476,57132,0,30324,324
1038,lxtask,22340,10685,8784,7428,0,14512,16
1039,corectrl,63352,56538,19220,47052,0,9044,8
1040,gnome-system-mo,85904,61013,23356,43792,0,39896,8
1063,cat,12,4,100,4,0,8,0
1064,cat,108,48,84,28,0,60,0
1082,gvfsd,864,856,888,856,0,8,0
1099,gvfsd-fuse,492,484,256,484,0,8,0
1222,xdg-desktop-por,4732,2195,1692,1668,0,2740,4
1226,chrome_crashpad,12,4,372,4,0,8,0
1251,chrome_crashpad,12,4,328,4,0,8,0
1262,at-spi-bus-laun,612,600,152,600,0,8,4
1263,xdg-document-po,3264,891,44,664,0,2512,0
1265,chromium,80,40,16392,72,0,8,64
1266,chromium,240,38,16148,232,0,8,228
1276,xdg-desktop-por,3108,1923,1548,1836,0,1268,4
1282,dbus-broker-lau,224,216,64,216,0,8,0
1285,dbus-broker,536,206,80,164,0,372,0
1291,at-spi2-registr,1480,650,144,572,0,888,0
1350,chromium,500,299,15984,496,0,8,228
1361,gvfs-udisks2-vo,3280,2192,252,2132,0,1128,4
1362,chrome_crashpad,228,89,288,88,0,140,0
1396,chrome_crashpad,12,4,332,4,0,8,0
1428,gvfsd-metadata,2872,818,272,504,0,2188,32
1444,chrome,3944,562,15376,688,0,3272,476
1474,chrome,2796,166,13188,2788,0,8,2784
1481,chrome_crashpad,192,53,320,52,0,140,0
1606,chrome_crashpad,12,4,328,4,0,8,0
1620,gvfs-mtp-volume,88,80,628,80,0,8,0
1651,gvfsd-trash,504,496,1492,496,0,8,0
1652,brave,176,86,14924,168,0,8,164
1662,brave,1856,160,13164,1848,0,8,1844
1665,dconf-service,316,308,168,308,0,8,0
1692,chrome,5088,555,13016,3060,0,2028,2800
1896,brave,3156,597,12996,2116,0,1008,1844
2859,bash,2972,1484,752,800,0,1964,0
3979,code,29468,23901,55612,20512,0,7144,92
4164,code,332,162,8828,324,0,8,324
4182,code,852,281,8220,844,0,8,844
4574,code,876,309,8304,872,0,4,844
4654,chromium,9432,7130,69776,6664,0,2688,80
4678,chromium,29440,21883,18392,9656,0,11672,44
5405,chrome,134160,81349,54336,50428,0,70792,1804
5442,chrome,60208,25071,16516,16240,0,39832,944
5472,chrome_crashpad,2368,2209,92,2208,0,160,0
5555,chromium,3288,1294,17528,1252,0,2068,228
5662,brave,48832,30395,77172,17132,0,27092,220
5692,brave,21808,13842,17452,11048,0,10076,56
5755,gnome-keyring-d,452,444,356,444,0,8,0
5905,chrome,21412,4258,14408,5356,0,15556,3216
5975,gnome-keyring-d,2932,1076,348,828,0,1972,0
6062,code,9692,7270,51716,6620,0,2852,340
6154,code,8940,6077,9572,2500,0,3660,64
7116,chromium,5924,2606,24496,2252,0,3708,248
7117,chromium,7320,4692,36256,4468,0,2880,232
7119,code,38420,34782,111056,30880,0,4052,884
7283,chrome,38520,12742,31800,13640,0,23116,4568
7717,chromium,14788,9619,32112,5060,0,6680,252
8276,chromium,5172,1964,22752,1644,0,3552,236
8288,code,14464,10480,43108,9056,0,5076,24
8318,code,22856,19666,116928,18932,0,3776,4
8335,code,6132,3404,35644,2852,0,3156,4
8520,pet,12,8,964,8,0,4,0
8789,code,10448,5760,34472,3524,0,6132,4
8846,bash,12,4,1660,4,0,8,0
8944,brave,10284,2889,15928,3488,0,6580,1864
9072,bash,12,4,1660,4,0,8,0
9146,brave,18360,8741,31160,7164,0,10044,1872
9359,code,4840,2737,285220,2260,0,2440,0
9743,brave,6204,1741,17920,916,0,5252,8
10096,brave,10160,3371,23236,4588,0,5556,1876
10202,brave,11504,4816,31660,6068,0,5428,1880
10216,brave,10564,3809,31060,5036,0,5520,1880
10245,brave,17176,8539,58216,8756,0,8288,1880
10405,brave,12300,5636,52112,6888,0,5404,1876
10503,brave,15844,7085,46456,7248,0,8468,1872
10588,brave,11936,5214,50136,6464,0,5468,1876
11525,gamemoded,708,593,404,588,0,116,0
36855,brave,6132,1894,19788,3288,0,2836,1860
128806,polybar,3476,1282,2292,728,0,2700,0
128807,polybar,2468,789,2352,428,0,2012,0
128808,polybar,4360,1853,2220,780,0,3052,0
128857,python3,5212,3409,3568,2196,0,2772,0
128858,i3-msg,504,131,76,112,0,380,0
1458966,chrome,130080,71626,19824,66952,0,59724,6716
1461096,chrome,85112,29115,26988,24624,0,57668,5152
1461164,chrome,133484,95086,41324,94108,0,37012,5196
1461200,chrome,39016,8965,20656,9188,0,27524,5136
1461251,chrome,123824,66377,20780,62024,0,58196,6892
1461269,chrome,88536,34044,18932,30364,0,54620,6428
1461374,chrome,104544,71733,17440,69892,0,29632,6504
1461476,chrome,25932,15416,416,14728,0,11072,132
1461670,chrome,14332,2055,12924,4144,0,10068,2928
1466267,bash,3684,1248,0,372,0,3044,0
1466276,jupyter-lab,170772,163629,0,150512,0,8568,0
1466587,chrome,417540,323450,16332,280036,0,104756,7152
1466598,chrome,92000,19185,17236,13676,0,75972,5048
1466599,chrome,84652,16678,17240,12136,0,70084,5092
1466620,chrome,90080,18527,17232,13428,0,74196,5096
1466749,chrome,64612,11510,17248,9124,0,53200,5012
1466765,chrome,83532,16437,17236,12032,0,69128,5112
1466841,python,66972,52886,0,49072,0,17836,0
1466844,python,67064,53039,0,49244,0,17760,0
1466845,python,67204,53092,0,49316,0,17864,0
1466931,chrome,113640,77982,14512,35572,0,41688,956
1466932,chrome,6232,1278,14812,1732,0,4892,824
1467112,bwrap,1920,243,0,136,0,1740,92
1467113,bwrap,1244,170,0,160,0,1084,92
1467114,glycin-svg,16548,9322,0,2536,0,8720,0
1467365,python,67980,53718,0,49648,0,18068,0
